name, url, categories
'Caffe', 'https://github.com/BVLC/caffe', ['Deep Learning / ML / AI']
'Cal.com', 'https://github.com/calcom/cal.com', ['Scheduling']
'calibre', 'https://github.com/kovidgoyal/calibre', ['E-book Manager']
'Calico', 'https://github.com/projectcalico/calico', ['Networking', 'Network Security']
'CareKit', 'https://github.com/carekit-apple/CareKit', ['Healthcare']
'Cataclysm DDA', 'https://github.com/CleverRaven/Cataclysm-DDA', ['Game']
'CDash', 'https://github.com/Kitware/CDash', ['Test Automation']
'Celery', 'https://github.com/celery/celery', ['Task Queuing']
'Ceph', 'https://github.com/ceph/ceph', ['File System']
'Cert Manager', 'https://github.com/jetstack/cert-manager', ['TLS']
'Chainer', 'https://github.com/chainer/chainer', ['Deep Learning / ML / AI']
'Changd', 'https://github.com/paschmann/changd', ['Web Monitoring']
'Charm', 'https://github.com/charmbracelet/charm', ['Terminal']
'Che Server', 'https://github.com/eclipse-che/che-server', ['Container Management']
'Chef Infra', 'https://github.com/chef/chef', ['Infrastructure Configuration']
'Chromium', 'https://github.com/chromium/chromium', ['Web Browser']
'Cilium', 'https://github.com/cilium/cilium', ['Network Security']
'CIRCT', 'https://github.com/llvm/circt', ['Compiler']
'Clair', 'https://github.com/quay/clair', ['Vulnerability Scanner']
'ClassQuiz', 'https://github.com/mawoka-myblock/classquiz', ['Quiz Application']
'ClearML', 'https://github.com/allegroai/clearml', ['MLOps Framework']
'ClickHouse', 'https://github.com/ClickHouse/ClickHouse', ['Database']
'Cloud Custodian', 'https://github.com/cloud-custodian/cloud-custodian', ['Network Security', 'Cost Allocation']
'CMake', 'https://gitlab.kitware.com/cmake/cmake', ['Build Automation']
'CMB', 'https://gitlab.kitware.com/cmb/cmb', ['Simulators']
'CNTK', 'https://github.com/Microsoft/CNTK', ['Deep Learning / ML / AI']
'CockroachDB', 'https://github.com/cockroachdb/cockroach', ['Database']
'code-server', 'https://github.com/coder/code-server', ['Code Editor']
'CodeSandbox', 'https://github.com/codesandbox/codesandbox-client', ['Code Editor']
'Coding Interview University', 'https://github.com/jwasham/coding-interview-university', ['Learn to Code']
'Colima', 'http://github.com/abiosoft/colima', ['Container Runtime']
'Collabora Online', 'https://github.com/CollaboraOnline/online', ['Integrated Office Suite']
'Compose', 'https://github.com/docker/compose', ['Infrastructure Configuration']
'Concourse', 'https://github.com/concourse/concourse', ['Continuous Delivery']
'Conductor', 'https://github.com/Netflix/conductor', ['Batch Processing']
'Consul', 'https://github.com/hashicorp/consul', ['Service Mesh']
'containerd', 'https://github.com/containerd/containerd', ['Container Runtime']
'Conversations', 'https://github.com/iNPUTmice/Conversations', ['Instant Messaging']
'Core ML Tools', 'https://github.com/apple/coremltools', ['Deep Learning / ML / AI']
'CoreDNS', 'https://github.com/coredns/coredns', ['DNS']
'Cortex', 'https://github.com/cortexproject/cortex', ['System Monitoring']
'Cosign', 'https://github.com/sigstore/cosign', ['Container Signing']
'Countly', 'https://github.com/Countly/countly-server', ['Web Analytics']
'Create React App', 'https://github.com/facebook/create-react-app', ['App Dev']
'Crontab UI', 'https://github.com/alseambusher/crontab-ui', ['Batch Processing']
'Crossplane', 'https://github.com/crossplane/crossplane', ['Kubernetes Management']
'Cube.js', 'https://github.com/cube-js/cube.js', ['Data Visualization']
'cURL', 'https://github.com/curl/curl', ['Utilities', 'HTTP Client']
'CyberChef', 'https://github.com/gchq/CyberChef', ['Cryptography']
'Cypress', 'https://github.com/cypress-io/cypress', ['Test Automation']
'd3', 'https://github.com/d3/d3', ['Javascript Library']
'Dagster', 'https://github.com/dagster-io/dagster', ['Workflow Orchestration', 'Batch Processing']
'Dapr', 'https://github.com/dapr/dapr', ['App Dev']
'darktable', 'https://github.com/darktable-org/darktable', ['Photography Workflow']
'darts', 'https://github.com/unit8co/darts', ['Python Library', 'Time Series Forecasting']
'Dash', 'https://github.com/plotly/dash', ['App Dev']
'Dask', 'https://github.com/dask/dask', ['Distributed Processing']
'Datahub', 'https://github.com/linkedin/datahub', ['Metadata Platform', 'Data Discovery']
'Dataplane', 'https://github.com/dataplane-app/dataplane', ['Batch Processing']
'DataRobot Provider for Apache Airflow', 'https://github.com/datarobot/airflow-provider-datarobot', ['Apache Airflow Provider']
'DataRobot User Models', 'https://github.com/datarobot/datarobot-user-models', ['Templates']
'Datasette', 'https://github.com/simonw/datasette', ['Data Exploration']
'DBND', 'https://github.com/databand-ai/dbnd', ['Metadata Platform', 'Data Observability']
'dbt', 'https://github.com/dbt-labs/dbt-core', ['Workflow Orchestration', 'Batch Processing']
'Deeplearning4j', 'https://github.com/deeplearning4j/deeplearning4j', ['Deep Learning / ML / AI']
'Deepmind Lab', 'https://github.com/deepmind/lab', ['Deep Learning / ML / AI']
'deepstream', 'https://github.com/deepstreamIO/deepstream.io', ['Event Streaming Platform']
'DefinitelyTyped', 'https://github.com/DefinitelyTyped/DefinitelyTyped', ['TypeScript Type Definitions']
'Delta Lake', 'https://github.com/delta-io/delta', ['Storage']
'Deno', 'https://github.com/denoland/deno', ['Javascript Runtime']
'DETR', 'https://github.com/facebookresearch/detr', ['Deep Learning / ML / AI']
'Developer Roadmap', 'https://github.com/kamranahmedse/developer-roadmap', ['Learn to Code']
'Devise', 'https://github.com/heartcombo/devise', ['Auth']
'DevToys', 'https://github.com/veler/DevToys', ['Learn to Code']
'dex', 'https://github.com/dexidp/dex', ['Auth']
'Dgraph Go Client', 'https://github.com/dgraph-io/dgo', ['Go Client']
'Dgraph', 'https://github.com/dgraph-io/dgraph', ['Database']
'Dgraph4j', 'https://github.com/dgraph-io/dgraph4j', ['Java Client']
'Digdag', 'https://github.com/treasure-data/digdag', ['Workflow Orchestration']
'Distribution', 'https://github.com/distribution/distribution', ['Container Registry']
'Django', 'https://github.com/django/django', ['App Dev']
